total_pop,median_income,no_vehicle_hh,hh_total,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
2932,-666666666,0,1075,36005028300,0.5649948822927329,0.3996358712921674,375,0.2032520325203252,0.9609302325581396,0.0
517,-666666666,0,0,36005028400,0.6467391304347826,0.4813801194342171,26,0.05128205128205128,0.656320829555757,0.0
3619,70543,143,1780,36005028500,0.10931849791376913,-0.05604051308679639,1388,0.4996400287976962,0.6910112359550562,0.012169783318492134
950,87917,55,466,36005028600,0.05789473684210526,-0.10746427415846026,330,0.4074074074074074,0.463519313304721,0.0
3330,68370,119,1280,36005028700,0.09882847702012616,-0.06653053398043936,808,0.34179357021996615,0.64921875,0.01552312946289972
2784,86757,18,1016,36005028800,0.16379310344827586,-0.0015659075522896637,850,0.41102514506769827,0.47834645669291337,0.0
4865,53138,55,1956,36005028900,0.29830148619957536,0.13294247519900984,844,0.25498489425981874,0.7832310838445807,0.019537390523242756
1862,137917,118,859,36005029301,0.012979351032448377,-0.15237965996811714,1117,0.7128270580727505,0.08381839348079162,0.005633802816901409
5475,121250,339,2582,36005029302,0.0843598357596118,-0.08099917524095372,2610,0.6654767975522693,0.34198295894655306,0.0
4609,95435,382,2078,36005029500,0.1575178997613365,-0.00784111123922901,1853,0.5256737588652483,0.4615014436958614,0.013750277223331116
2171,55486,22,881,36005029600,0.11145996860282574,-0.05389904239773978,635,0.43197278911564624,0.8047673098751419,0.0
4047,97132,289,1816,36005029700,0.030580240460010455,-0.13477877054055507,2058,0.6892163429336906,0.4168502202643172,0.000760841998478316
6702,90307,184,2464,36005030000,0.15279878971255673,-0.012560221288008794,1838,0.374185667752443,0.6181006493506493,0.012463455916294814
1567,81351,52,657,36005030100,0.06260162601626017,-0.10275738498430535,684,0.5368916797488226,0.4596651445966514,0.004765146358066712
3522,68948,234,1575,36005030201,0.10533787620670074,-0.06002113479386478,763,0.2825925925925926,0.6406349206349207,0.0
5417,59107,543,2542,36005030202,0.09719142645971915,-0.06816758454084637,1191,0.29917106254709874,0.6077891424075531,0.022480773023072373
